#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1691392224680004300,-5.13513e-05,1.54575e-05,6.62814e-06,-0.212,0.267467,-9.80906
1691392225018993400,-0.000187517,0.000119655,-6.88498e-05,-0.196405,0.275587,-9.80121
1691392225346782200,-7.97665e-05,0.000115889,-6.3953e-05,-0.206794,0.268747,-9.80285
1691392225354500100,0.0006172,0.00101437,0.00104085,-0.205336,0.263005,-9.77604
1691392225362787200,-0.00149924,0.00047432,0.000278387,-0.218412,0.245372,-9.8129
1691392225371180500,0.000386887,-0.000638043,-0.000447632,-0.200803,0.243419,-9.81389
1691392225379644100,0.000538293,-0.00012626,0.000457593,-0.201097,0.251814,-9.79134
1691392225387988700,-0.000307719,0.000205522,-0.000370024,-0.204611,0.2573,-9.80141
1691392225396363300,0.000553795,0.00120074,-0.000787316,-0.18298,0.304134,-9.80647
1691392225404688100,0.000754739,-0.00129744,-0.000673295,-0.200819,0.238817,-9.76182
1691392225412858600,0.00153728,-0.00074935,-0.000536667,-0.165884,0.286225,-9.78858
1691392225421317500,2.38132e-05,0.000962842,0.000866347,-0.183253,0.292948,-9.78392
1691392225429652500,0.000707553,-0.000877956,-0.000846265,-0.173504,0.272422,-9.77018
1691392225438097200,0.000858495,-0.00021514,-0.000264858,-0.181071,0.235814,-9.76596
1691392225446314100,0.000231922,-0.000938747,0.000823395,-0.165028,0.262249,-9.83592
1691392225454539700,-0.00149997,2.82165e-05,-0.000808233,-0.216867,0.319044,-9.7704
1691392225463047800,0.000158676,0.000350921,-0.000777885,-0.211623,0.254791,-9.77827
1691392225472199000,0.000999869,0.000134017,-0.000199784,-0.216638,0.235837,-9.80467
1691392225480675800,0.000260147,0.00154853,0.00168134,-0.247201,0.26423,-9.81507
1691392225488784400,-0.000452067,9.90016e-05,1.54609e-05,-0.234535,0.319742,-9.7795
1691392225497701700,-0.00139129,-4.27508e-05,-0.000747049,-0.179119,0.250857,-9.78832
1691392225505699800,-0.00149535,0.000126578,-0.00139961,-0.229766,0.262315,-9.79561
1691392225514103700,-0.000975116,-0.000692649,-0.000482296,-0.147475,0.269107,-9.77238
1691392225522426200,0.00102103,-0.00055458,-0.00118278,-0.195018,0.239056,-9.81509
1691392225530805900,-0.000577335,0.00102859,0.00115083,-0.193771,0.290619,-9.76256
1691392225539324900,-0.000804252,-0.000883497,0.00073078,-0.201703,0.235894,-9.83755
1691392225547672200,-0.000397589,-0.000359786,0.000114252,-0.20901,0.257656,-9.82309
1691392225555957700,-8.25561e-05,0.000259491,-0.00019227,-0.144797,0.234003,-9.80789
1691392225564407400,0.00044237,-0.000418303,-0.00103251,-0.212558,0.306329,-9.74731
1691392225572543500,-0.000895139,-0.00175843,-8.60241e-05,-0.255121,0.260012,-9.80858
1691392225580968700,0.000758478,0.000734952,-0.00164011,-0.209884,0.260534,-9.82316
1691392225589333600,0.00060496,0.000920786,-0.000839168,-0.204869,0.266626,-9.76527
1691392225597631600,-0.000163866,-0.00144232,0.000181214,-0.216042,0.277656,-9.78601
1691392225605968700,-1.44569e-05,-0.00103074,0.000494139,-0.186435,0.279855,-9.81852
1691392225614738300,-0.00114928,1.74032e-05,-0.00123173,-0.162348,0.277899,-9.79939
1691392225622709900,-0.0011678,-0.000199091,0.000933609,-0.22328,0.256187,-9.806
1691392225631039800,0.00116205,0.000198028,-0.00103051,-0.21873,0.249696,-9.82834
1691392225639511400,-0.000110885,-0.000613026,0.000573533,-0.290054,0.27184,-9.78554
1691392225647845600,0.00145404,-0.00273394,-0.00165914,-0.149856,0.233041,-9.79346
1691392225656801300,-0.000481442,0.0014261,0.00148187,-0.182098,0.304233,-9.81306
1691392225665079800,0.0011502,-0.00124697,0.000493095,-0.152472,0.303048,-9.81879
1691392225673433900,0.000671586,0.000298308,-0.000450385,-0.183122,0.29413,-9.82934
1691392225681750800,0.00175021,0.00120624,0.00135413,-0.200574,0.228974,-9.81176
1691392225690098100,0.00140382,-3.45359e-05,-0.000156776,-0.204194,0.27598,-9.79595
1691392225698421900,0.000297939,3.61068e-05,0.000581394,-0.216572,0.30018,-9.82308
1691392225706726300,-0.000158956,-8.75486e-05,-0.000991562,-0.223813,0.265144,-9.82836
1691392225715096000,-0.000520454,0.000844115,-0.000931161,-0.183146,0.258868,-9.7887
1691392225723403400,-0.000522589,0.000338432,0.00127258,-0.189063,0.293147,-9.79347
1691392225731726300,-0.00155395,-0.000465823,0.00108039,-0.180072,0.276108,-9.83197
1691392225740060200,0.000107497,0.000141194,0.00108003,-0.188315,0.246823,-9.79781
1691392225748455300,0.000493376,-0.000711882,0.000632069,-0.240406,0.23536,-9.74608
1691392225756868100,-0.000394158,-0.000927453,0.000874422,-0.180028,0.317764,-9.84454
1691392225765196500,-0.000806067,-0.00134335,-4.95538e-05,-0.178992,0.292743,-9.80842
1691392225773477600,-0.000989581,-0.000464117,-0.000673578,-0.222021,0.243519,-9.76425
1691392225782114300,-0.000462829,-0.00215484,0.00091653,-0.184448,0.248628,-9.8339
1691392225790137500,-8.47622e-05,-0.000673016,-0.00143015,-0.173903,0.225758,-9.77778
1691392225798538300,-0.000465092,-0.0007778,0.000459713,-0.161963,0.260934,-9.76604
1691392225806808400,0.000681396,0.000599614,0.000870502,-0.201217,0.300575,-9.82091
1691392225815101900,0.00102902,-0.00169679,-0.000175479,-0.213963,0.246563,-9.84138
1691392225823488700,-0.000998203,0.000314362,-0.00173399,-0.204016,0.253364,-9.80922
1691392225831866200,-0.000109878,0.00131986,-0.000463615,-0.187236,0.24084,-9.8236
1691392225840158600,-0.000263935,-0.00142713,-0.000213989,-0.173393,0.264019,-9.82627
1691392225848799700,0.000236513,-0.000145209,-0.000441704,-0.250382,0.276055,-9.85302
1691392225858124200,0.000827161,0.000178165,0.000498777,-0.232774,0.305924,-9.79498
1691392225865192600,-0.000416059,0.000154224,0.00116211,-0.234606,0.256115,-9.86312
1691392225873495900,0.000273648,-0.000981083,0.000296629,-0.199698,0.246824,-9.82442
1691392225881857900,-0.000459139,0.00206754,-0.00135269,-0.192104,0.251915,-9.82442
1691392225890153000,-0.000190616,-8.35418e-05,-0.00019114,-0.191707,0.241399,-9.76975
1691392225898591000,0.000107589,-0.000284725,-0.000100365,-0.140914,0.245848,-9.80985
1691392225906854400,0.00019905,-0.00072008,-0.000197402,-0.196184,0.282742,-9.80013
1691392225915180100,-0.000802332,0.000171009,-0.00103607,-0.21208,0.221073,-9.81394
1691392225923550700,-0.000683803,0.00186016,0.000228825,-0.182118,0.315913,-9.76881
1691392225931848700,0.00100464,0.00162761,0.00125954,-0.168615,0.266329,-9.78232
1691392225940195400,0.000491379,-1.19147e-05,0.00100928,-0.216102,0.279186,-9.86747
1691392225948522100,-6.08804e-05,-0.00105415,8.63724e-05,-0.239949,0.253754,-9.80616
1691392225956832500,4.41194e-05,-0.000809547,-0.000655633,-0.205213,0.26479,-9.81221
1691392225966072000,0.00057513,0.00101422,-0.000297732,-0.20691,0.249845,-9.79263
1691392225973563700,-0.000811573,-0.000719535,0.00041319,-0.217775,0.245235,-9.88792
1691392225982100300,0.00158514,-0.000993102,0.000533634,-0.199893,0.269311,-9.82786
1691392225990234300,0.00169528,0.000296644,-0.000746483,-0.178962,0.272494,-9.78579
1691392225998513000,-0.000220349,-0.000310674,-0.000931502,-0.185078,0.252369,-9.82802
1691392226006706800,0.000608441,-0.000154374,0.000209969,-0.222711,0.241471,-9.78864
1691392226015211500,-0.000224702,-0.000285036,0.000973569,-0.181566,0.27574,-9.79475
1691392226023382600,0.000438647,-0.00111017,-0.00093442,-0.212052,0.270196,-9.80728
1691392226031830900,-0.00146742,0.000165338,-0.00145895,-0.206304,0.260651,-9.84666
1691392226040148000,0.00118948,-0.000233198,-0.000754014,-0.157612,0.274599,-9.77826
1691392226048538300,-0.000867463,0.00089624,0.000703581,-0.1677,0.27612,-9.82224
1691392226056818200,0.000737335,0.00064261,0.00150595,-0.175644,0.205389,-9.80106
1691392226065220500,0.000664869,-5.17857e-05,0.000521787,-0.217878,0.268726,-9.76991
1691392226073440100,-0.000127068,-0.00131395,-0.000266014,-0.158093,0.253145,-9.81472
1691392226081827100,-0.000914486,-0.00128956,-0.000969487,-0.255463,0.240647,-9.8092
1691392226090114600,0.00216275,0.000323752,0.000230313,-0.211228,0.300653,-9.82585
1691392226098489800,0.00016984,-0.00128126,-0.000381135,-0.187206,0.297884,-9.81854
1691392226106779400,-0.000851389,-0.000527156,0.000141129,-0.227234,0.269763,-9.82194
1691392226115268100,0.000438712,-0.0036418,0.000418821,-0.21492,0.234663,-9.80346
1691392226123655500,-0.00120196,-0.0019087,0.00193968,-0.214401,0.254293,-9.80567
1691392226131794700,0.000796252,0.00153849,-0.000466268,-0.200637,0.28066,-9.81526
1691392226140197100,-1.32106e-05,0.000433161,-0.00237159,-0.164385,0.284704,-9.8095
1691392226148470400,0.000787129,0.000925095,0.00035286,-0.232076,0.272776,-9.78484
1691392226156749800,-0.000368883,9.7352e-05,-0.000127639,-0.204849,0.270806,-9.80383
1691392226165060300,0.000638373,-0.000327668,-0.00136301,-0.171866,0.262916,-9.81652
1691392226173403800,0.000358972,0.0012391,0.000330208,-0.218172,0.250283,-9.7901
1691392226181726400,-1.64234e-05,-0.00173638,0.00190291,-0.200982,0.252186,-9.79595
1691392226190065800,-0.000143719,-0.00150886,0.000573177,-0.193609,0.295439,-9.8202
1691392226198395400,-0.000842385,-0.000788813,-0.000157816,-0.23738,0.243085,-9.79012
1691392226206724700,-0.0005989,0.000169205,0.000353151,-0.240628,0.223659,-9.80168
1691392226215179300,-0.00147094,0.000653967,-0.00199351,-0.197038,0.260518,-9.79313
1691392226223400900,-0.000445962,0.000947772,0.00049598,-0.183201,0.262682,-9.77483
1691392226231729700,0.00146927,3.2172e-05,0.000405378,-0.193098,0.297533,-9.78757
1691392226240688100,0.000698635,0.00132714,0.000185521,-0.167416,0.286049,-9.76787
1691392226248424800,0.00224296,-0.000343254,2.85583e-05,-0.223999,0.315043,-9.8668
1691392226256838300,0.00064493,0.000685904,0.000978662,-0.162451,0.301837,-9.80652
1691392226265118500,-0.000385584,-0.000340688,0.000921189,-0.20974,0.259483,-9.77763
1691392226273448000,0.00156065,-0.00075441,-0.00124678,-0.162661,0.274934,-9.80048
1691392226281758900,0.00151728,-0.000629859,0.000247291,-0.205379,0.291208,-9.82636
1691392226290089800,0.000387855,0.000880135,0.00266099,-0.172863,0.247417,-9.79652
1691392226301220500,4.95592e-05,0.000545156,0.00050274,-0.15746,0.290123,-9.79042
1691392226306714900,-0.00301911,-0.0012212,-0.000384834,-0.229875,0.241291,-9.74753
1691392226315437800,-0.000223403,-0.000336451,0.000327071,-0.139135,0.280433,-9.81449
1691392226323371100,0.00050124,0.000187235,-0.000852793,-0.157156,0.285262,-9.75395
1691392226332212200,0.000164818,-0.000556914,-0.00156687,-0.215351,0.248136,-9.7793
1691392226340036800,-0.00055547,0.000646664,-0.000821876,-0.227102,0.287008,-9.8001
1691392226348443400,0.000977182,-0.000997713,0.00112166,-0.256333,0.252443,-9.74513
1691392226356725600,-0.000772304,0.00160352,-0.00199655,-0.197994,0.28645,-9.78555
1691392226365085800,-0.000584955,0.000536598,0.00199023,-0.272586,0.258906,-9.7997
1691392226373391300,-4.88896e-05,-0.000534385,0.000769384,-0.195592,0.2721,-9.82753
1691392226381808400,0.000451443,0.000519993,0.00164861,-0.200382,0.233685,-9.8293
1691392226390065900,-0.000768449,0.000984143,-0.000736222,-0.247125,0.229239,-9.79322
1691392226398443800,-0.000407167,0.0017639,-0.000244083,-0.167732,0.306797,-9.81252
1691392226406726800,-0.000391286,0.000859379,0.000203025,-0.188665,0.272315,-9.83918
1691392226415130900,0.00128207,0.000506391,0.000246237,-0.231889,0.273421,-9.77262
1691392226423416000,0.000745521,0.000977727,-0.000837255,-0.16486,0.264265,-9.78565
1691392226431761300,9.60355e-05,-0.000354812,-0.00107581,-0.209926,0.27474,-9.80587
1691392226440085700,0.000585516,0.000617136,-0.000116439,-0.229415,0.261532,-9.78949
1691392226448559600,-0.000614024,-0.000229346,-0.00113959,-0.212513,0.271222,-9.75859
1691392226456777300,0.000990069,-0.000208039,3.61502e-05,-0.199997,0.302282,-9.79949
1691392226465168300,0.000273163,0.000112938,0.00137912,-0.192754,0.252669,-9.77005
1691392226473425300,0.000162976,-0.000619124,0.000943998,-0.201982,0.275535,-9.79723
1691392226481738300,-0.00131415,-8.56375e-05,-0.00027213,-0.221964,0.289114,-9.77914
1691392226490124100,-0.000128983,-0.00169471,0.000347544,-0.186459,0.244997,-9.82541
